date,warehouse,orders,holiday_name,holiday,shutdown,mini_shutdown,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,id,missing
2020-12-05,Prague_1,6895.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-05,0
2020-12-06,Prague_1,6584.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-06,0
2020-12-07,Prague_1,7030.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-07,0
2020-12-08,Prague_1,6550.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-08,0
2020-12-09,Prague_1,6910.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-09,0
2020-12-10,Prague_1,7228.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-10,0
2020-12-11,Prague_1,7790.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-11,0
2020-12-12,Prague_1,7165.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-12,0
2020-12-13,Prague_1,6844.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-13,0
2020-12-14,Prague_1,7010.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-14,0
2020-12-15,Prague_1,7243.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-15,0
2020-12-16,Prague_1,7429.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-16,0
2020-12-17,Prague_1,7538.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-17,0
2020-12-18,Prague_1,8072.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-18,0
2020-12-19,Prague_1,7868.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-19,0
2020-12-20,Prague_1,8128.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-20,0
2020-12-21,Prague_1,8605.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-21,0
2020-12-22,Prague_1,8875.0,,0,0,0,0,0,0,0,0,0,3,0,Prague_1_2020-12-22,0
2020-12-23,Prague_1,8968.0,,0,0,0,0,0,0,0,0,0,2,0,Prague_1_2020-12-23,0
2020-12-24,Prague_1,4327.0,Christmas Eve,1,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-24,0
2020-12-25,Prague_1,,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-25,1
2020-12-26,Prague_1,7784.0,2nd Christmas Day,1,0,0,1,0,0,0,0,0,0,0,Prague_1_2020-12-26,0
2020-12-27,Prague_1,6702.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-27,0
2020-12-28,Prague_1,7210.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-28,0
2020-12-29,Prague_1,7597.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-29,0
2020-12-30,Prague_1,7618.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-30,0
2020-12-31,Prague_1,6238.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2020-12-31,0
2021-01-01,Prague_1,3754.0,New Years Day,1,0,0,1,0,0,0,0,0,0,0,Prague_1_2021-01-01,0
2021-01-02,Prague_1,6553.0,,0,0,0,0,0,0,0,0,0,0,0,Prague_1_2021-01-02,0
2021-01-03,Prague_1,6841.0,,0,0,0,0,0,0,0,0,0,1,0,Prague_1_2021-01-03,0
